TransactionID,Amount,Location,Time,Fraud
TXN001,29.5,1,18,0
TXN002,32.08,3,16,0
TXN003,1280.99,3,11,0
TXN004,1287.49,1,6,0
TXN005,4192.35,5,16,1
TXN006,2091.0,5,12,1
TXN007,347.57,2,22,1
TXN008,158.64,4,11,0
TXN009,85.03,2,13,0
TXN010,340.28,5,6,0
TXN011,2317.59,1,3,0
TXN012,264.28,1,4,0
TXN013,1625.42,1,4,0
TXN014,71.2,4,21,1
TXN015,197.86,4,0,0
TXN016,149.27,2,5,0
TXN017,309.55,5,17,0
TXN018,393.13,5,2,1
TXN019,2146.5,1,7,0
TXN020,268.7,2,5,1
TXN021,442.59,5,12,1
TXN022,1764.74,3,14,0
TXN023,202.14,5,10,1
TXN024,2301.38,1,1,0
TXN025,677.85,1,3,0
TXN026,4732.88,4,9,1
TXN027,527.29,5,20,0
TXN028,291.33,3,21,1
TXN029,345.27,1,19,0
TXN030,3103.1,1,22,1
TXN031,4912.56,5,5,1
TXN032,147.97,3,16,1
TXN033,221.83,5,9,0
TXN034,109.38,3,16,0
TXN035,1497.84,1,5,0
TXN036,6537.68,4,21,1
TXN037,233.94,3,1,0
TXN038,354.12,2,4,0
TXN039,395.15,4,4,0
TXN040,2244.07,1,8,0
TXN041,322.17,3,4,1
TXN042,240.61,3,1,1
TXN043,229.64,1,8,0
TXN044,337.15,2,0,0
TXN045,374.57,2,10,0
TXN046,1575.76,3,18,0
TXN047,2102.62,1,5,0
TXN048,176.45,2,9,0
TXN049,34.72,5,2,0
TXN050,351.1,2,12,0
TXN051,1747.11,4,4,0
TXN052,63.83,3,11,0
TXN053,2051.5,3,0,0
TXN054,493.21,1,15,0
TXN055,1794.9,3,12,0
TXN056,1049.5,2,5,0
TXN057,1796.35,4,1,0
TXN058,336.82,2,4,0
TXN059,848.77,5,19,0
TXN060,1794.09,1,20,0
TXN061,105.36,1,10,0
TXN062,1608.91,2,13,0
TXN063,22.11,5,13,0
TXN064,284.45,5,8,0
TXN065,2474.57,5,4,0
TXN066,2284.14,2,11,0
TXN067,2033.12,4,2,0
TXN068,3537.86,5,0,1
TXN069,849.3,2,4,0
TXN070,98.6,5,4,0
TXN071,1027.09,5,20,0
TXN072,1419.85,2,5,0
TXN073,339.39,2,16,0
TXN074,242.88,1,2,1
TXN075,2247.24,5,3,0
TXN076,198.72,2,10,0
TXN077,267.67,1,20,0
TXN078,263.1,4,5,1
TXN079,386.22,2,8,0
TXN080,2306.85,2,18,0
